1,"canSpoof(feedbackFlow4)","OR",0
2,"RULE 10 (Enterprise)","AND",1
3,"controlFlow(satellite,gpsModule,feedbackFlow4)","LEAF",1
4,"wirelessCompromise(gpsModule)","OR",0
5,"RULE 0 (ICS)","AND",1
6,"weaknessPhysicalLayer(ac7,nmea0183,coverZone)","LEAF",1
7,"physicalLayer(nmea0183,gpsModule,satellite)","LEAF",1
8,"attackerLocated(coverZone)","LEAF",1
